======================
📄 DUMP FILAS LEÍDAS
======================
Fila #0 → REF=10107 | PADRE=- | ASOC=10107-10106-94073 | DESC=Rejilla Reposa Patas de Plástico para c
Fila #102 → REF=10964 | PADRE=- | ASOC=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | DESC=Jaula para conejos Penta 3 Metal
Fila #103 → REF=10965 | PADRE=- | ASOC=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | DESC=Jaula para conejos Penta 3 Plástico - 2
Fila #104 → REF=10966 | PADRE=- | ASOC=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | DESC=Jaula para conejos Penta 3 Metal - 2 dep
Fila #105 → REF=10967 | PADRE=- | ASOC=94154-10782-10967 | DESC=Bandeja Colectora para Penta - 3 departa
Fila #106 → REF=11174 | PADRE=- | ASOC=94155-11350-11351-11174 | DESC=Cesta Bruselas con tolvilla
Fila #107 → REF=11315 | PADRE=- | ASOC=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | DESC=Tolva Comedero Especial Machos
Fila #108 → REF=11350 | PADRE=- | ASOC=94155-11350-11351-11174 | DESC=Cesta Marsella con tolvilla
Fila #109 → REF=11351 | PADRE=- | ASOC=94155-11350-11351-11174 | DESC=Cesta Milán con tolvilla
Fila #110 → REF=11482 | PADRE=- | ASOC=11484-11485-11482-11483-94083 | DESC=Jaula Milán con patas y nido
Fila #111 → REF=11483 | PADRE=- | ASOC=11484-11485-11482-11483-94083 | DESC=Jaula Marsella con patas y nido
Fila #112 → REF=11484 | PADRE=- | ASOC=11484-11485-11482-11483-94083 | DESC=Jaula Milán con patas y sin nido
Fila #113 → REF=11485 | PADRE=- | ASOC=11484-11485-11482-11483-94083 | DESC=Jaula Marsella con patas y sin nido
Fila #114 → REF=11653 | PADRE=- | ASOC=10140-10109-11737-10138-11653-94084 | DESC=Cubeta grande C-12 con sandwich
Fila #115 → REF=11737 | PADRE=- | ASOC=10140-10109-11737-10138-11653-94084 | DESC=Cubeta Bruselas baja
Fila #116 → REF=30003 | PADRE=- | ASOC=30596-30004-10274-10280-10265-10373-10264-30003-35041-35040-94144 | DESC=Cruz de plástico - 10/10 mm.
Fila #117 → REF=30004 | PADRE=- | ASOC=30596-30004-10274-10280-10265-10373-10264-30003-35041-35040-94144 | DESC=Derivación en T - 7/7 mm.
Fila #118 → REF=30007 | PADRE=- | ASOC=30057-30007-94156 | DESC=Boca plast (a granel) Comed aves ant-des
Fila #119 → REF=30008 | PADRE=- | ASOC=30965-30846-30847-30009-30008-94019 | DESC=Ponedero Colectavi Central Principio C/E
Fila #120 → REF=30009 | PADRE=- | ASOC=30965-30846-30847-30009-30008-94019 | DESC=Ponedero Colectavi Central Ampliación C
Fila #121 → REF=30010 | PADRE=- | ASOC=- | DESC=Sistema expulsión aves Colectavi Centra
Fila #122 → REF=30011 | PADRE=- | ASOC=- | DESC=Sistema expulsión aves Colectavi Centra
