======================
📘 INICIO DE LECTURA EXCEL
======================
📄 Fila 0 → ref=10107 | desc=Rejilla Reposa Patas de Plástico para conejos | padre=- | asociados=10107-10106-94073 | vacía=no
📄 Fila 68 → ref=10378 | desc=Bebedero Mini con boya | padre=- | asociados=10378-10379-10380-10381-10247-10248-10321-94078 | vacía=no
📄 Fila 69 → ref=10379 | desc=Bebedero Mini con botella 0,5 l. | padre=- | asociados=10378-10379-10380-10381-10247-10248-10321-94078 | vacía=no
📄 Fila 70 → ref=10380 | desc=Bebedero Mini con botella de 2 l. | padre=- | asociados=10378-10379-10380-10381-10247-10248-10321-94078 | vacía=no
📄 Fila 71 → ref=10381 | desc=Bebedero Mini sin botella | padre=- | asociados=10378-10379-10380-10381-10247-10248-10321-94078 | vacía=no
📄 Fila 72 → ref=10386 | desc=Botella de plástico para bebedero Mini - 2 l. | padre=- | asociados=10295-10387-10386-94075 | vacía=no
📄 Fila 73 → ref=10387 | desc=Botella de plástico para bebedero Mini - 0,5 l. | padre=- | asociados=10295-10387-10386-94075 | vacía=no
📄 Fila 74 → ref=10440 | desc=Abrazadera Sinfín | padre=- | asociados=10465-10441-10442-30356-10440-10285-30363-35051-94143 | vacía=no
📄 Fila 75 → ref=10441 | desc=Racor principio ABS negro | padre=- | asociados=10465-10441-10442-30356-10440-10285-30363-35051-94143 | vacía=no
📄 Fila 76 → ref=10442 | desc=Racor ampliación ABS negro | padre=- | asociados=10465-10441-10442-30356-10440-10285-30363-35051-94143 | vacía=no
📄 Fila 77 → ref=10463 | desc=Taza bebedero Logis | padre=- | asociados=- | vacía=no
📄 Fila 78 → ref=10464 | desc=Válvula recta para Bebedero Logis | padre=- | asociados=94153-10464-10474 | vacía=no
📄 Fila 79 → ref=10465 | desc=Junta Bebedero Logis a Tubo Rigido | padre=- | asociados=10465-10441-10442-30356-10440-10285-30363-35051-94143 | vacía=no
📄 Fila 80 → ref=10469 | desc=Filtro de Agua con llave | padre=- | asociados=10469-30819-94209 | vacía=no
📄 Fila 81 → ref=10470 | desc=Depósito Regulador de Agua 32 l. | padre=- | asociados=30096-35033-35077-10470-10475-94141 | vacía=no
📄 Fila 82 → ref=10471 | desc=Adaptador de chapa para bebedero Logis/Mini | padre=- | asociados=- | vacía=no
📄 Fila 83 → ref=10472 | desc=Racor Salida Depósito | padre=- | asociados=10472-30716-94210 | vacía=no
📄 Fila 84 → ref=10474 | desc=Válvula acodada para Bebedero Logis | padre=- | asociados=94153-10464-10474 | vacía=no
📄 Fila 85 → ref=10475 | desc=Deposito Regulador de Agua 55 l. | padre=- | asociados=30096-35033-35077-10470-10475-94141 | vacía=no
📄 Fila 86 → ref=10483 | desc=Sandwich para fondo de Nido Milán | padre=- | asociados=94151-10114-10483 | vacía=no
📄 Fila 87 → ref=10782 | desc=Bandeja Colectora Penta - 2 departamentos | padre=- | asociados=94154-10782-10967 | vacía=no
📄 Fila 88 → ref=10785 | desc=Suelo plástico 61x50 cms. Mod. Penta | padre=- | asociados=10785-10261-10326-94074 | vacía=no
📄 Fila 89 → ref=10798 | desc=Conjunto Nipel y Tuerca 3/8" | padre=- | asociados=30209-30210-30211-30798-90830-94147 | vacía=no
📄 Fila 90 → ref=10799 | desc=Pata 1 Piso Modelo Penta | padre=- | asociados=- | vacía=no
📄 Fila 91 → ref=10938 | desc=Tapa Plástico Nido-Cuni | padre=- | asociados=- | vacía=no
📄 Fila 92 → ref=10939 | desc=Cubeta Nido-Cuni | padre=- | asociados=- | vacía=no
📄 Fila 93 → ref=10950 | desc=Jaula para conejos Penta 2 Plástico | padre=- | asociados=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | vacía=no
📄 Fila 94 → ref=10952 | desc=Jaula para conejos Penta 2 Metal | padre=- | asociados=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | vacía=no
📄 Fila 95 → ref=10954 | desc=Jaula para conejos Penta 4 Plástico | padre=- | asociados=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | vacía=no
📄 Fila 96 → ref=10956 | desc=Jaula para conejos Penta 4 Metal | padre=- | asociados=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | vacía=no
📄 Fila 97 → ref=10957 | desc=Nido Penta para conejos | padre=- | asociados=10110-10137-10960-10957-94085 | vacía=no
📄 Fila 98 → ref=10960 | desc=Nido-Cuni | padre=- | asociados=10110-10137-10960-10957-94085 | vacía=no
📄 Fila 99 → ref=10961 | desc=Jaula para conejos Penta 4 Plástico - 2 departamentos | padre=- | asociados=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | vacía=no
📄 Fila 100 → ref=10962 | desc=Jaula para conejos Penta 4 Metal - 2 departamentos | padre=- | asociados=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | vacía=no
📄 Fila 101 → ref=10963 | desc=Jaula para conejos Penta 3 Plástico | padre=- | asociados=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | vacía=no
📄 Fila 102 → ref=10964 | desc=Jaula para conejos Penta 3 Metal | padre=- | asociados=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | vacía=no
📄 Fila 103 → ref=10965 | desc=Jaula para conejos Penta 3 Plástico - 2 departamentos | padre=- | asociados=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | vacía=no
📄 Fila 104 → ref=10966 | desc=Jaula para conejos Penta 3 Metal - 2 departamentos | padre=- | asociados=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | vacía=no
📄 Fila 105 → ref=10967 | desc=Bandeja Colectora para Penta - 3 departamentos | padre=- | asociados=94154-10782-10967 | vacía=no
📄 Fila 106 → ref=11174 | desc=Cesta Bruselas con tolvilla | padre=- | asociados=94155-11350-11351-11174 | vacía=no
📄 Fila 107 → ref=11315 | desc=Tolva Comedero Especial Machos | padre=- | asociados=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | vacía=no
📄 Fila 108 → ref=11350 | desc=Cesta Marsella con tolvilla | padre=- | asociados=94155-11350-11351-11174 | vacía=no
📄 Fila 109 → ref=11351 | desc=Cesta Milán con tolvilla | padre=- | asociados=94155-11350-11351-11174 | vacía=no
📄 Fila 110 → ref=11482 | desc=Jaula Milán con patas y nido | padre=- | asociados=11484-11485-11482-11483-94083 | vacía=no
📄 Fila 111 → ref=11483 | desc=Jaula Marsella con patas y nido | padre=- | asociados=11484-11485-11482-11483-94083 | vacía=no
