======================
📦 DUMP ARRAY ORDENADO
======================
### Grupo parent: 215 elementos ###
   → REF=30097 | PADRE=- | DESC=Bebedero Eco de plástico reciclado con 
   → REF=30098 | PADRE=- | DESC=Bebedero Eco de plástico reciclado con 
   → REF=30112 | PADRE=- | DESC=Corral Móvil continental 30 m2
   → REF=30116 | PADRE=- | DESC=Corral Móvil continental 60 m2
   → REF=30118 | PADRE=- | DESC=Corral Móvil continental 90 m2
   → REF=30125 | PADRE=- | DESC=Bebederos para aves de acero Inoxidable 
   → REF=30126 | PADRE=- | DESC=Bebederos para aves de acero Inoxidable 
   → REF=30127 | PADRE=- | DESC=Bebederos para aves de acero Inoxidable 
   → REF=30128 | PADRE=- | DESC=Bebederos para aves de acero Inoxidable 
   → REF=30130 | PADRE=- | DESC=Tolva metálica con patas para aves - 5 
   → REF=30131 | PADRE=- | DESC=Tolva metálica con patas para aves - 10
